,date,filename,plate
0,"September 23, 2013",tesseract_output/vanity_plate-0.png.txt,NUTDEEP
1,"October 11, 2013",tesseract_output/vanity_plate-1.png.txt,KILLR
2,"September 19, 2013",tesseract_output/vanity_plate-10.png.txt,BENWAH
3,"September 23, 2013",tesseract_output/vanity_plate-11.png.txt,MAMS
4,"August 19, 2013",tesseract_output/vanity_plate-12.png.txt,CATLII‘S
5,,tesseract_output/vanity_plate-13.png.txt,800—13
6,"Ocinbcr 9, 2013",tesseract_output/vanity_plate-14.png.txt,KNUCKL
7,"September 23, 2013",tesseract_output/vanity_plate-15.png.txt,"is ""capable of an obscene interpretation "" Saf-C 514"
8,"Augmst 7, 2013",tesseract_output/vanity_plate-16.png.txt,DUCKU
9,"August 19, 2013",tesseract_output/vanity_plate-17.png.txt,RUCKU
10,"January 14, 2013",tesseract_output/vanity_plate-18.png.txt,~LMFAO-
11,"May 22, 2013",tesseract_output/vanity_plate-19.png.txt,DRGDLR
12,"September 23, 2013",tesseract_output/vanity_plate-2.png.txt,LIFETKR
13,"May 23, 2013",tesseract_output/vanity_plate-20.png.txt,BENWAH
14,"August 7, 2013",tesseract_output/vanity_plate-21.png.txt,AWDFI'W
15,"August 19, 2013",tesseract_output/vanity_plate-22.png.txt,FUWBR
16,,tesseract_output/vanity_plate-23.png.txt,
17,,tesseract_output/vanity_plate-24.png.txt,NICFOKU
18,"May 23, 2013",tesseract_output/vanity_plate-25.png.txt,SXBNU
19,"June 14, 2013",tesseract_output/vanity_plate-26.png.txt,SLAMVAN
20,"August 19, 2013",tesseract_output/vanity_plate-27.png.txt,PRPLPOS
21,"August 7, 2013",tesseract_output/vanity_plate-28.png.txt,V4PLY
22,"August 7, 2013",tesseract_output/vanity_plate-29.png.txt,VBAGR
23,"August 19, 2013",tesseract_output/vanity_plate-3.png.txt,—FCK—
24,,tesseract_output/vanity_plate-30.png.txt,WTFRU
25,"October 9, 2013",tesseract_output/vanity_plate-31.png.txt,EDU-69
26,,tesseract_output/vanity_plate-32.png.txt,GIRFTW
27,,tesseract_output/vanity_plate-33.png.txt,DEEPNIT
28,"September 23, 2013",tesseract_output/vanity_plate-34.png.txt,IDGAFOS
29,,tesseract_output/vanity_plate-35.png.txt,EATCLAM
30,,tesseract_output/vanity_plate-36.png.txt,
31,,tesseract_output/vanity_plate-37.png.txt,FNCABBY
32,"June 14, 2013",tesseract_output/vanity_plate-38.png.txt,ILLIGAF
33,,tesseract_output/vanity_plate-39.png.txt,W'I‘FNOW
34,,tesseract_output/vanity_plate-4.png.txt,STFU
35,"October 9, 2013",tesseract_output/vanity_plate-40.png.txt,FNAUDI
